loc_rowid,koi_disposition,koi_duration,koi_depth,koi_model_snr
1928,1,"7,22","578,40","23,90"
1929,1,"8,11","348,80","29,70"
1930,1,"1,20","284,20","25,20"
1931,1,"2,81","143,40","18,20"
1932,1,"3,15","306,80","18,60"
1933,1,"2,06","192,50","21,30"
1934,1,"7,49","487,40","21,60"
1935,null,"8,45",,
1936,null,"0,82","233,20","10,80"
1937,1,"3,02","130,90","15,90"
1938,1,"4,90","157,30","20,90"
1939,1,"1,46","908,40","35,40"
1940,1,"3,22","755,70","32,70"
1941,1,"5,12","1626,60","30,20"
1942,1,"3,16","292,60","25,30"
1943,1,"2,75","286,20","25,10"
1944,1,"2,88","2975,00","362,10"
1945,1,"3,82","1350,70","19,50"
1946,1,"3,89","777,30","27,80"
1947,1,"1,71","433,80","17,60"
1948,1,"1,94","386,00","25,10"
1949,1,"4,05","252,60","27,60"
1950,1,"4,75","370,70","23,20"
1951,1,"3,43","184,30","22,30"
1952,1,"0,81","270,70","36,00"
1953,1,"2,65","329,20","22,80"
1954,1,"4,52","697,10","22,30"
1955,1,"1,14","499,60","31,20"
1956,1,"2,84","1453,30","145,90"
1957,1,"4,69","1124,90","31,60"
1958,null,"3,54","501,20","35,30"
1959,1,"3,42","816,70","54,10"
1960,1,"5,91","632,40","26,00"
1961,1,"1,86","200,70","28,40"
1962,null,"4,54","182,30","1,80"
1963,1,"2,92","191,00","24,50"
1964,1,"4,85","263,00","22,60"
1965,1,"2,13","86,00","21,00"
1966,1,"2,06","59,90","18,60"
1967,1,"2,32","175,70","20,80"
1968,1,"1,76","278,60","16,50"
1969,null,"2,71","197,40","7,30"
1970,null,"1,28","190,20","18,30"
1971,0,"4,23","3218,50","184,30"
1972,1,"2,31","114,70","27,50"
1973,1,"5,41","68,60","29,80"
1974,1,"2,93","101,40","22,00"
1975,1,"2,78","124,00","18,60"
1976,1,"2,55","262,30","20,60"
1977,1,"3,06","553,20","23,60"
1978,1,"5,52","396,40","19,10"
1979,1,"6,42","244,60","30,50"
1980,1,"8,42","656,90","23,80"
1981,1,"2,28","180,40","24,60"
1982,1,"2,11","48,90","13,70"
1983,null,"1,85","18,10","6,60"
1984,1,"2,77","224,20","12,80"
1985,0,"5,10","5237,70","181,60"
1986,0,"2,34","4787,30","101,10"
1987,1,"3,74","821,50","22,20"
1988,null,"1,96","621,80","10,20"
1989,null,"3,03","343,50","17,50"
1990,1,"4,77","86,50","12,40"
1991,1,"4,96","264,80","18,70"
1992,0,"2,83","281,30","15,10"
1993,0,"70,37","385,40","130,00"
1994,null,"3,27","769,50","16,30"
1995,1,"4,28","758,90","18,00"
1996,1,"7,53","63,50","16,20"
1997,1,"2,68","36,30","11,90"
1998,1,"1,09","400,40","68,30"
1999,0,"10,51",,
2000,1,"2,73","1180,10","485,50"
2001,0,"7,98",,
2002,1,"4,53","784,20","22,90"
2003,0,"2,64","259,20","20,70"
2004,1,"3,28","412,40","21,20"
2005,1,"5,93","143,90","19,50"
2006,1,"2,66","391,70","16,70"
2007,null,"1,34","127,40","24,60"
2008,1,"8,20","374,70","21,40"
2009,0,"1,97","400,80","20,60"
2010,1,"2,04","2054,80","68,60"
2011,0,"7,50","701,10","58,50"
2012,1,"3,46","114,50","19,20"
2013,null,"3,78","504,20","15,80"
2014,1,"2,57","77,40","17,20"
2015,null,"3,52","94,20","12,40"
2016,1,"1,20","303,00","19,80"
2017,null,"7,92","398,80","11,80"
2018,null,"0,37","263,90","6,40"
2019,null,"15,24",,
2020,null,"3,24","60,40","15,50"
2021,1,"4,08","360,10","13,70"
2022,1,"6,18","142,90","22,20"
2023,1,"4,86","162,90","15,90"
2024,1,"2,99","461,80","26,10"
2025,1,"2,41","340,70","9,30"
2026,1,"2,32","1032,60","46,70"
2027,1,"4,30","108,10","19,40"
2028,1,"3,69","463,50","25,30"
2029,1,"2,19","771,70","17,80"
2030,1,"2,41","266,20","23,30"
2031,0,"2,93","181,20","13,10"
2032,1,"6,74","141,40","17,60"
2033,1,"10,53","214,20","21,30"
2034,0,"5,25","275,40","27,90"
2035,0,"5,95","71,40","22,20"
2036,0,"1,85","615,20","13,40"
2037,1,"1,73","36912,00","1341,60"
2038,1,"2,01","296,90","15,80"
2039,0,"1,06","277,30","31,50"
2040,0,"1,01","278,00","11,50"
2041,0,"4,02","495,80","85,20"
2042,1,"5,96","1161,50","22,80"
2043,1,"3,53","401,60","274,50"
2044,1,"7,46","751,00","15,10"
2045,1,"3,53","586,80","16,80"
2046,1,"4,13","210,40","20,30"
2047,1,"1,97","81,40","22,90"
2048,1,"1,15","322,70","35,30"
2049,1,"6,81","217,50","20,50"
2050,0,"1,62","126,40","33,50"
2051,0,"1,39","84,30","12,70"
2052,0,"7,45","193,90","23,30"
2053,1,"1,87","507,00","38,20"
2054,null,"3,10","139,20","12,90"
2055,null,"0,96","134,90","25,60"
2056,null,"1,95","502,80","17,90"
2057,1,"1,72","316,20","14,80"
2058,0,"1,07","145,20","24,70"
2059,1,"2,85","180,60","15,70"
2060,1,"4,21","498,50","11,50"
2061,1,"1,72","359,30","11,20"
2062,null,"1,90","106,70","15,90"
2063,1,"4,58","365,30","20,90"
2064,1,"6,66","373,10","17,10"
2065,1,"2,87","631,70","15,60"
2066,0,"3,06","83,10","22,50"
2067,1,"4,03","886,40","17,30"
2068,1,"2,54","1765,90","101,10"
2069,1,"2,59","92,90","14,40"
2070,0,"2,36","418,50","12,80"
2071,0,"1,67","115,80","20,00"
2072,0,"1,98","2651,80","88,70"
2073,0,"1,58","259,10","45,20"
2074,0,"2,23","151,00","14,00"
2075,null,"5,37","565,90","33,20"
2076,null,"1,43","725,60","17,10"
2077,0,"1,71","1112,60","23,80"
2078,1,"4,05","2312,80","106,50"
2079,1,"6,27","389,00","21,30"
2080,1,"5,44","336,40","15,40"
2081,1,"2,12","369,60","15,70"
2082,1,"2,61","75,80","16,30"
2083,0,"2,23","199,10","15,00"
2084,1,"4,47","610,40","179,50"
2085,0,"3,70","525,80","20,50"
2086,0,"1,79","259,60","18,30"
2087,1,"3,90","184,90","21,90"
2088,1,"4,37","661,80","23,30"
2089,0,"4,48","86,30","28,70"
2090,1,"2,86","301,60","19,90"
2091,1,"2,94","371,00","14,70"
2092,1,"2,72","145,60","18,40"
2093,1,"1,78","345,20","18,80"
2094,1,"1,90","1537,70","32,40"
2095,1,"3,36","100,80","12,90"
2096,1,"4,82","214,50","19,50"
2097,1,"1,22","240,70","36,70"
2098,0,"10,76","110990,00","534,50"
2099,0,"16,99","29841,00","897,00"
2100,null,"5,55","348130,00","124,80"
2101,0,"4,06","3859,00","9,70"
2102,1,"6,82","2518,70","63,10"
2103,0,"3,40","258,60","17,40"
2104,0,"3,03","650,80","4,60"
2105,1,"3,40","636,60","15,80"
2106,1,"7,33","479,80","28,50"
2107,1,"5,55","437,90","28,80"
2108,null,"1,54","370,50","16,80"
2109,1,"2,46","188,70","19,40"
2110,1,"2,18","1387,20","57,40"
2111,0,"10,26","535,80","24,70"
2112,0,"2,05","153,60","15,70"
2113,null,"1,77","42,40","15,60"
2114,1,"3,58","70,50","19,20"
2115,1,"1,81","269,40","22,90"
2116,1,"9,57","168,70","15,70"
2117,1,"2,52","396,60","18,90"
2118,null,"3,58","150,70","15,10"
2119,null,"2,61","48,10","15,10"
2120,1,"5,88","181,00","20,40"
2121,0,"9,88","67,90","5,70"
2122,1,"4,02","499,50","16,70"
2123,0,"9,75","719,10","23,60"
2124,0,"3,82","249,10","14,90"
2125,1,"5,76","891,60","20,40"
2126,1,"3,88","87,30","32,40"
2127,1,"3,83","137,60","16,40"
2128,null,"1,54","716,80","16,10"
2129,null,"1,84","542,40","20,20"
2130,0,"2,38","139,10","14,20"
2131,null,"3,87","47,40","17,80"
2132,1,"1,37","114,60","16,90"
2133,1,"1,09","212,60","20,90"
2134,0,"4,04","36,70","12,50"
2135,null,"9,54","506,80","14,70"
2136,1,"2,63","1298,60","132,70"
2137,0,"1,23","275,30","16,70"
2138,1,"1,85","2338,00","132,10"
2139,1,"1,12","242,10","20,70"
2140,1,"3,17","756,70","15,00"
2141,0,"1,22","22462,00","172,20"
2142,0,"1,35","54,70","13,00"
2143,null,"9,17","758,80","16,90"
2144,0,"1,02","245,50","22,10"
2145,0,"2,39","453,00","24,50"
2146,1,"4,22","290,10","25,20"
2147,1,"2,30","143,80","17,10"
2148,0,"4,52","116,60","23,00"
2149,1,"4,62","481,20","18,00"
2150,0,"4,91","227,00","65,30"
2151,null,"0,51","360,70","17,60"
2152,1,"2,34","357,30","17,70"
2153,1,"1,60","852,80","63,60"
2154,1,"4,72","763,80","21,40"
2155,1,"5,61","56,10","22,40"
2156,1,"4,76","433,40","17,00"
2157,1,"4,32","87,60","20,30"
2158,1,"5,27","72,80","15,20"
2159,0,"31,28","1704,10","38,10"
2160,1,"4,73","1120,10","34,10"
2161,1,"2,07","487,40","35,40"
2162,0,"2,75","45034,00","92,00"
2163,1,"11,11","2575,60","175,20"
2164,1,"6,11","76,80","17,00"
2165,1,"3,99","68,00","25,50"
2166,1,"3,34","102,60","18,50"
2167,1,"3,38","92,90","12,70"
2168,1,"4,39","771,50","17,20"
2169,null,"7,93","757,00","16,00"
2170,1,"3,73","12,20","7,40"
2171,0,"2,93","28,70","21,70"
2172,1,"1,89","366,70","15,20"
2173,1,"1,03","224,90","20,60"
2174,1,"4,52","573,30","18,90"
2175,1,"7,34","297,30","15,40"
2176,1,"4,88","773,60","15,70"
2177,1,"3,32","187,50","15,60"
2178,1,"3,84","211,20","15,30"
2179,1,"2,91","162,30","15,20"
2180,null,"5,29","174,10","15,70"
2181,0,"3,57","123,30","14,00"
2182,0,"7,01","413,60","23,40"
2183,1,"2,34","795,80","19,90"
2184,null,"3,41","261,40","15,30"
2185,1,"2,87","136,20","22,50"
2186,1,"2,01","163,40","14,30"
2187,1,"3,54","912,80","26,70"
2188,null,"6,81","736,10","19,70"
2189,1,"4,03","326,00","21,60"
2190,0,"1,64","458,10","16,90"
2191,0,"1,91","168,90","12,20"
2192,0,"18,43","68,40","6,90"
2193,1,"1,64","85,40","19,10"
2194,1,"1,27","778,60","20,10"
2195,1,"3,83","1023,80","21,20"
2196,1,"2,31","813,80","27,60"
2197,1,"1,77","245,30","11,80"
2198,0,"4,74","128,20","42,90"
2199,1,"2,76","240,60","16,50"
2200,null,"10,06","136,70","21,10"
2201,null,"2,66","526,80","14,80"
2202,0,"3,62","582,30","20,20"
2203,null,"1,32","272,20","17,30"
2204,0,"4,76","258,50","15,70"
2205,0,"1,09","39,70","21,60"
2206,1,"2,85","177,80","17,70"
2207,null,"0,59","659,70","23,20"
2208,0,"3,36","145,60","17,60"
2209,0,"1,02","305,70","13,20"
2210,0,"2,02","452,70","16,40"
2211,1,"8,99",,
2212,1,"3,37","55,70","15,90"
2213,1,"7,64","187,80","22,50"
2214,null,"2,76","752,70","19,80"
2215,1,"1,29","488,40","17,30"
2216,1,"10,05","89,50","26,10"
2217,1,"3,00","128,30","23,80"
2218,0,"4,26","417,50","62,80"
2219,0,"4,64","568,50","14,00"
2220,null,"0,59","248,20","31,10"
2221,1,"3,68","66,80","14,20"
2222,0,"1,66","200,80","15,30"
2223,null,"2,33","398,90","17,80"
2224,0,"3,73","1282,60","19,90"
2225,null,"5,71","468,00","13,00"
2226,1,"1,68","315,50","24,50"
2227,0,"8,15","123520,00","2619,20"
2228,1,"2,43","277,10","19,00"
2229,1,"3,52","311,00","16,00"
2230,1,"2,44","786,70","22,60"
2231,1,"6,20","70,70","27,10"
2232,1,"3,63","75,70","18,80"
2233,null,"2,95","79,10","10,70"
2234,1,"6,47","462,80","13,50"
2235,1,"6,02","382,30","19,60"
2236,0,"2,20","510,00","6,50"
2237,1,"2,44","388,80","15,80"
2238,1,"1,58","1826,90","112,20"
2239,null,"10,47","104,20","23,60"
2240,1,"3,72","2292,10","80,10"
2241,0,"1,04","465,60","26,40"
2242,null,"2,78","900,70","13,20"
2243,1,"3,06","240,00","15,90"
2244,0,"2,03","796,90","59,80"
2245,0,"5,73","3714,70","288,60"
2246,0,"10,39","112,70","29,20"
2247,1,"8,20","140,30","24,00"
2248,1,"5,71","124,10","25,40"
2249,1,"3,21","205,20","15,40"
2250,0,"1,78","68,10","19,20"
2251,0,"1,78","172,00","21,20"
2252,1,"1,91","204,50","21,40"
2253,1,"3,28","219,70","14,90"
2254,1,"3,43","346,50","289,60"
2255,0,"1,96","97,80","16,00"
2256,0,"2,02","420,60","17,50"
2257,1,"7,27","72,60","20,60"
2258,1,"0,83","357,40","20,40"
2259,1,"1,37","290,50","21,40"
2260,1,"3,14","325,80","14,90"
2261,0,"2,85","189,90","17,00"
2262,1,"2,22","323,00","17,90"
2263,1,"3,55","575,00","17,50"
2264,0,"3,35","359,50","19,00"
2265,1,"2,68","302,50","22,20"
2266,0,"1,22","488,30","20,40"
2267,1,"3,27","420,70","20,00"
2268,0,"1,17","165,90","37,10"
2269,1,"1,42","105,10","17,70"
2270,1,"3,93","137,90","17,60"
2271,1,"6,56","323,10","18,10"
2272,1,"6,91","915,90","23,90"
2273,0,"4,60","74,80","29,30"
2274,1,"4,55","217,10","16,10"
2275,1,"4,55","652,70","18,30"
2276,1,"6,53","38,00","20,90"
2277,0,"1,98","100,70","17,40"
2278,1,"2,47","215,10","18,40"
2279,null,"1,39","272,40","8,10"
2280,1,"2,71","2794,70","137,20"
2281,0,"0,86","171,90","26,80"
2282,null,"1,75","2313,20","64,40"
2283,1,"3,67","53,60","13,20"
2284,1,"4,65","945,90","20,70"
2285,1,"1,97","281,00","11,40"
2286,1,"4,31","913,30","17,00"
2287,null,"1,82","700,40","18,50"
2288,0,"5,46","5423,50","222,80"
2289,null,"3,89","605,80","21,00"
2290,1,"3,97","259,50","19,70"
2291,1,"3,87","116,60","16,30"
2292,1,"1,39","351,50","23,00"
2293,1,"1,99","371,90","18,00"
2294,null,"3,81","431,60","7,70"
2295,0,"2,27","197,70","17,20"
2296,0,"7,82","261,80","35,90"
2297,1,"3,01","55,00","32,20"
2298,0,"2,86","185,30","13,60"
2299,null,"3,58","441,20","17,30"
2300,null,"3,31","479,10","13,80"
2301,1,"2,06","107,40","12,80"
2302,1,"6,76","885,40","18,10"
2303,1,"5,20","108,50","14,10"
2304,1,"2,99","83,20","17,40"
2305,0,"6,68","298,10","18,90"
2306,1,"9,69","170,20","21,40"
2307,1,"5,52","45,90","22,00"
2308,null,"2,82","169,10","15,30"
2309,0,"1,45","137,30","41,60"
2310,1,"2,18","222,80","21,30"
2311,1,"7,04","203,10","23,70"
2312,1,"4,10","505,40","22,50"
2313,1,"1,28","403,60","19,30"
2314,0,"29,14","257,90","62,20"
2315,1,"8,57","138,60","28,40"
2316,0,"12,69","253,30","10,00"
2317,1,"4,61","436,30","14,10"
2318,1,"4,42","221,50","16,30"
2319,null,"3,47","85,90","18,10"
2320,null,"4,08","78,00","12,70"
2321,1,"8,43","1033,00","17,30"
2322,1,"0,76","2754,60","48,60"
2323,1,"0,96","2355,00","25,40"
2324,0,"3,00","134,70","27,00"
2325,0,"1,79","1224,10","79,60"
2326,1,"1,41","210,20","18,50"
2327,1,"4,18","142,00","15,40"
2328,1,"4,61","421,80","110,50"
2329,0,"6,74","447,80","20,50"
2330,1,"7,77","1992,30","36,10"
2331,1,"10,86","351,20","81,90"
2332,1,"1,59","6462,00","50,50"
2333,1,"1,26","2598,00","24,30"
2334,1,"0,99","631,80","37,10"
2335,0,"0,96","239,20","26,80"
2336,null,"1,71","467,90","21,70"
2337,0,"3,43","85,50","27,80"
2338,0,"7,22","219,50","48,20"
2339,0,"3,42","92,60","28,10"
2340,0,"2,41","152,60","15,50"
2341,1,"1,58","224,90","17,70"
2342,0,"1,21","202,20","13,90"
2343,1,"5,75","75,10","23,90"
2344,1,"3,41","107,30","22,00"
2345,1,"2,90","133,10","16,10"
2346,null,"2,71","361,20","10,60"
2347,0,"1,46","140,60","17,10"
2348,null,"1,11","237,40","15,30"
2349,1,"1,62","126,80","16,70"
2350,1,"3,00","1617,10","23,80"
2351,1,"2,29","1223,30","22,60"
2352,null,"4,59","83,30","14,60"
2353,1,"5,58","807,10","34,90"
2354,1,"3,75","221,20","15,20"
2355,1,"2,70","474,80","20,00"
2356,1,"1,07","488,50","27,30"
2357,1,"3,34","191,00","9,10"
2358,1,"1,25","261,10","8,30"
2359,0,"1,83","166,20","43,40"
2360,null,"8,68","1248,70","24,30"
2361,1,"4,47","68,70","38,20"
2362,0,"8,45","57,30","12,80"
2363,0,"2,11","160,40","15,50"
2364,null,"1,77","356,80","13,90"
2365,null,"1,68","150,90","9,70"
2366,1,"1,83","200,70","22,40"
2367,null,"1,38","181,90","18,90"
2368,null,"6,25","496,60","17,10"
2369,0,"5,56","217,30","17,00"
2370,0,"2,86","285,70","18,60"
2371,0,"3,10","133,70","14,30"
2372,1,"7,46","501,60","194,90"
2373,0,"3,40","599,80","7,50"
2374,0,"1,35","157,60","38,70"
2375,1,"5,52","125,50","43,50"
2376,1,"3,01","214,60","23,50"
2377,1,"3,40","159,00","13,50"
2378,0,"2,33","134,90","12,30"
2379,0,"1,10","269,70","25,30"
2380,0,"2,33","8043,00","43,20"
2381,null,"2,02","670,00","19,10"
2382,0,"1,32","125,90","17,90"
2383,0,"4,51","197,00","21,90"
2384,0,"3,16","168,00","76,40"
2385,null,"1,06","144,40","19,80"
2386,1,"5,09","694,40","20,10"
2387,1,"4,66","185,30","19,90"
2388,null,"0,92","525,50","196,40"
2389,1,"4,55","79,70","14,20"
2390,1,"7,21","538,00","20,50"
2391,0,"2,30","503,90","13,60"
2392,null,"2,56","2951,00","18,90"
2393,null,"6,35","209,20","15,50"
2394,1,"3,27","142,00","13,70"
2395,null,"5,65","145,00","11,90"
2396,0,"3,51","645,80","25,10"
2397,1,"8,38","178,50","39,00"
2398,1,"10,47","263,40","36,20"
2399,1,"2,61","6057,00","65,60"
2400,1,"1,82","285,10","22,10"
2401,1,"7,43","431,00","23,70"
2402,1,"1,99","345,30","20,00"
2403,0,"1,73","41,70","18,00"
2404,null,"12,21","489,80","108,90"
2405,1,"2,10","83,50","15,60"
2406,1,"1,93","59,50","13,90"
2407,null,"2,60","59,30","11,10"
2408,0,"1,19","176,70","17,20"
2409,null,"2,26","1003,40","12,10"
2410,1,"4,36","476,80","20,10"
2411,1,"5,00","51,00","19,00"
2412,null,"5,18","52,40","11,80"
2413,1,"1,85","59,10","11,90"
2414,0,"2,38","140,40","13,50"
2415,1,"1,71","1839,10","36,00"
2416,1,"2,74","1316,00","20,50"
2417,1,"1,68","303,50","31,60"
2418,1,"3,97","646,70","125,80"
2419,1,"1,98","394,20","17,00"
2420,1,"3,24","251,80","35,40"
2421,1,"7,83","239,70","28,40"
2422,0,"3,34","50,40","22,90"
2423,1,"1,96","155,90","19,90"
2424,1,"3,40","169,90","22,60"
2425,0,"1,91","57,60","13,90"
2426,0,"5,82","47,10","22,20"
2427,1,"1,92","141,30","17,20"
2428,1,"1,86","66,00","15,90"
2429,1,"1,73","298,90","82,00"
2430,1,"2,92","33,50","12,20"
2431,null,"2,14","76,40","13,60"
2432,1,"5,11","201,80","19,70"
2433,null,"2,76","115,90","12,80"
2434,1,"10,68","206,40","16,90"
2435,1,"1,74","108,70","79,70"
2436,0,"1,92","316,60","47,70"
2437,1,"1,49","425,80","20,80"
2438,null,"3,10","65,70","30,70"
2439,1,"6,19","700,10","27,90"
2440,1,"5,26","296,30","20,00"
2441,1,"3,15","25,90","22,10"
2442,0,"0,82","531,40","32,00"
2443,0,"7,19","354,60","37,60"
2444,null,"1,55","231,30","23,20"
2445,0,"3,32","31,70","26,10"
2446,0,"22,27","24,30","14,00"
2447,1,"2,68","740,70","17,50"
2448,1,"4,46","98,80","19,30"
2449,0,"6,54","297,50","14,30"
2450,null,"4,08","567,80","17,50"
2451,1,"4,59","702,20","17,00"
2452,1,"9,31","193,00","20,80"
2453,0,"4,35","906,80","22,20"
2454,1,"1,76","861,30","16,00"
2455,1,"7,28","84,60","35,20"
2456,1,"3,47","129,30","20,10"
2457,1,"4,24","136,00","17,40"
2458,1,"3,17","100,40","18,60"
2459,1,"3,93","110,80","15,30"
2460,1,"4,10","117,30","32,30"
2461,1,"6,74","107,80","60,80"
2462,1,"1,16","98,50","23,00"
2463,0,"1,92","106,00","26,00"
2464,0,"3,89","109,00","22,20"
2465,1,"5,04","33,40","24,40"
2466,1,"3,56","165,50","15,10"
2467,1,"2,94","114,30","14,40"
2468,0,"2,51","135,80","16,20"
2469,0,"10,87","225,40","36,90"
2470,null,"2,16","320,80","17,70"
2471,0,"1,17","135,00","21,60"
2472,1,"4,66","24,30","16,80"
2473,null,"3,68","331,60","16,20"
2474,null,"3,80","731,30","17,50"
2475,0,"1,51","52,30","15,80"
2476,1,"8,16","1418,60","244,70"
2477,1,"0,87","403,00","30,70"
2478,0,"2,48","108,20","30,80"
2479,0,"2,44","193,80","48,30"
2480,0,"2,05","73,80","20,30"
2481,0,"6,06","266,30","27,60"
2482,1,"2,01","203,90","17,60"
2483,1,"2,31","32,10","15,90"
2484,0,"3,19","89,90","15,30"
2485,1,"2,39","47,50","20,60"
2486,null,"1,54","175,70","20,20"
2487,1,"5,97","99,70","28,80"
2488,1,"4,33","77,80","29,50"
2489,1,"3,02","127,50","16,70"
2490,1,"1,69","189,00","16,20"
2491,1,"1,02","195,50","20,00"
2492,null,"5,38","1148,40","16,10"
2493,0,"3,47","56,70","34,90"
2494,0,"2,06","404,80","14,60"
2495,1,"7,79","551,70","19,50"
2496,null,"6,02","37,70","18,40"
2497,0,"9,41","156,30","38,30"
2498,1,"4,98","252,50","28,40"
2499,1,"3,47","106,20","26,20"
2500,0,"2,07","352,00","21,80"
2501,1,"5,92","85,40","33,80"
2502,1,"5,52","147,80","20,00"
2503,0,"0,72","105,10","30,30"
2504,1,"6,38","118,70","62,10"
2505,0,"3,18","206,30","20,70"
2506,0,"4,11","215,60","34,50"
2507,0,"13,02","421,90","7,00"
2508,0,"1,62","145,30","14,80"
2509,0,"1,13","264,70","20,30"
2510,1,"2,66","855,90","19,30"
2511,0,"4,27","51,40","15,10"
2512,0,"3,67","193,60","11,50"
2513,1,"1,31","249,90","21,20"
2514,1,"2,22","529,40","55,10"
2515,1,"1,32","109,20","19,20"
2516,0,"23,78","1651,90","102,70"
2517,null,"10,51","1627,70","92,30"
2518,1,"1,51","461,40","40,20"
2519,1,"2,10","118,40","21,00"
2520,1,"2,75","190,10","17,40"
2521,1,"1,81","857,20","20,30"
2522,1,"0,79","280,90","26,30"
2523,1,"2,54","885,40","23,10"
2524,1,"10,22","498,70","28,60"
2525,null,"0,79","134,40","16,10"
2526,0,"3,04","52,80","20,60"
2527,1,"1,35","286,00","18,90"
2528,1,"0,92","316,90","21,00"
2529,0,"11,59","280,60","43,30"
2530,1,"4,77","62,90","20,40"
2531,0,"1,41","128,10","40,60"
2532,0,"16,98","270,40","45,60"
2533,1,"4,96","160,80","14,50"
2534,null,"6,82","8067,00","48,50"
2535,0,"9,57","1472,00","52,50"
2536,null,"2,52","3058,00","7,70"
2537,1,"6,77","5038,10","73,20"
2538,1,"1,75","618,70","11,40"
2539,0,"2,96","65744,00","86,10"
2540,0,"1,06","64,00","40,90"
2541,0,"1,74","178,40","43,00"
2542,1,"3,83","294,90","25,30"
2543,null,"3,47","108,10","10,50"
2544,0,"1,66","85,60","21,50"
2545,0,"6,01","417,20","23,30"
2546,1,"8,23","170,90","61,20"
2547,1,"2,23","191,40","16,50"
2548,null,"5,38","1347,30","14,40"
2549,1,"2,38","441,40","20,90"
2550,0,"1,28","72,20","19,20"
2551,0,"3,48","290,60","20,90"
2552,1,"5,62","204,00","14,00"
2553,0,"5,28","540,30","65,20"
2554,0,"2,11","75,70","47,40"
2555,null,"16,72","3252,50","110,90"
2556,0,"1,68","215,70","21,20"
2557,0,"4,23","2154,40","58,00"
2558,1,"7,12","1953,40","69,30"
2559,null,"2,07","59,50","14,20"
2560,0,"2,89","43,80","27,30"
2561,0,"4,04","224,60","36,00"
2562,1,"1,98","220,70","21,40"
2563,1,"6,57","899,70","26,70"
2564,1,"3,96","572,10","26,90"
2565,0,"6,35","518,00","55,50"
2566,0,"1,70","316,70","19,80"
2567,0,"2,35","100,20","34,50"
2568,0,"1,82","348,60","18,00"
2569,1,"2,41","207,20","12,60"
2570,0,"2,18","809,40","91,90"
2571,1,"3,58","594,00","15,80"
2572,1,"7,28","203,10","77,30"
2573,null,"2,61","328,50","13,20"
2574,null,"5,35","649,00","17,10"
2575,1,"3,34","104,90","14,80"
2576,1,"6,39","220,50","106,70"
2577,0,"6,33","24384,00","721,90"
2578,1,"1,14","7680,00","78,00"
2579,null,"3,09","4899,00","48,00"
2580,1,"1,04","432,30","20,80"
2581,0,"5,68","2271,50","30,00"
2582,1,"2,39","378,70","20,10"
2583,1,"9,82","224,70","28,20"
2584,1,"2,46","134,30","17,70"
2585,0,"1,44","37,50","29,00"
2586,1,"5,40","1262,10","23,20"
2587,1,"0,98","150,20","20,00"
2588,1,"7,08","339,80","53,90"
2589,1,"10,60","360,70","35,30"
2590,0,"0,90","54,30","22,80"
2591,0,"1,28","179,10","22,30"
2592,0,"2,45","314,20","13,10"
2593,1,"9,86","116,40","30,00"
2594,0,"3,26","117,50","14,60"
2595,1,"6,77","86,80","15,60"
2596,null,"6,77","2141,10","62,80"
2597,0,"0,84","945,60","45,60"
2598,1,"2,32","171,90","36,90"
2599,1,"3,31","150,50","22,90"
2600,1,"2,27","177,10","29,10"
2601,null,"15,68","2500,90","37,10"
2602,1,"2,99","860,50","20,20"
2603,0,"3,33","111,10","62,80"
2604,0,"0,82","36,50","16,90"
2605,1,"1,62","64,80","21,60"
2606,1,"2,36","92,80","16,60"
2607,null,"1,17","46,10","12,50"
2608,1,"5,57","1209,30","20,00"
2609,1,"1,33","691,20","22,50"
2610,1,"2,06","278,00","18,20"
2611,null,"11,34","156,90","11,20"
2612,0,"1,72","256,20","19,70"
2613,0,"2,15","224,20","20,30"
2614,1,"10,63","233,90","47,90"
2615,1,"3,74","468,30","19,70"
2616,1,"1,45","343,30","53,60"
2617,1,"1,85","402,40","25,80"
2618,1,"4,74","106,10","48,70"
2619,null,"1,53","1156,00","13,20"
2620,null,"11,20","950,50","54,60"
2621,null,"7,87","360,50","27,00"
2622,1,"1,65","58,20","23,70"
2623,1,"2,51","69,10","21,30"
2624,1,"1,75","104,70","26,50"
2625,1,"6,97","868,50","26,70"
2626,null,"22,89","1104,00","99,90"
2627,1,"6,21","133,50","24,30"
2628,1,"4,43","70,90","17,40"
2629,1,"3,80","54,30","15,50"
2630,1,"7,04","327,00","69,70"
2631,1,"1,29","525,10","19,80"
2632,0,"28,12","449,40","72,00"
2633,0,"0,79","221,80","21,90"
2634,1,"2,98","40,90","17,20"
2635,null,"9,73","112,70","26,30"
2636,null,"2,59","71,60","15,70"
2637,0,"3,75","304,40","33,10"
2638,1,"14,64","866,70","64,60"
2639,1,"1,22","378,40","50,40"
2640,null,"1,80","358,10","29,90"
2641,0,"1,93","1670,00","10,20"
2642,null,"0,86","155,60","22,90"
2643,1,"4,19","688,50","21,60"
2644,0,"1,66","648,60","35,90"
2645,1,"3,21","98,40","52,50"
2646,1,"7,44","1275,40","29,30"
2647,1,"4,16","202,00","71,60"
2648,1,"4,95","75,20","21,90"
2649,1,"9,18","776,20","88,00"
2650,1,"6,33","755,60","120,10"
2651,1,"2,19","597,80","102,20"
2652,0,"4,88","371,40","59,90"
2653,0,"3,95","175,60","37,00"
2654,0,"3,82","359,00","7,40"
2655,1,"2,51","209,70","51,60"
2656,0,"8,09","20083,00","2707,70"
2657,0,"4,01","677,90","102,80"
2658,0,"1,46","36,90","13,90"
2659,null,"2,10","166,40","11,90"
